prior(0,0919062832800852).
knows(284,101).
knows(281,212).
knows(746,483).
knows(280,241).
knows(1634,1792).
knows(284,98).
knows(1208,336).
knows(1634,1820).
knows(1217,34).
knows(272,554).
knows(1636,1735).
knows(285,77).
knows(266,738).
knows(267,704).
knows(267,699).
knows(1186,1132).
knows(761,15).
knows(745,632).
knows(1634,1915).
knows(273,492).
knows(752,370).
knows(762,1).
knows(284,86).
knows(1204,468).
knows(746,587).
knows(1634,1905).
knows(1214,100).
knows(748,515).
knows(269,633).
knows(1684,15).
knows(738,843).
knows(284,36).
knows(1208,284).
knows(1214,51).
knows(1208,272).
knows(284,33).
knows(1186,1090).
knows(757,127).
knows(1650,1289).
knows(284,58).
knows(280,206).
knows(739,821).
knows(1634,1878).
knows(755,226).
knows(284,51).
knows(280,197).
knows(275,382).
knows(244,1734).
knows(1634,1962).
knows(1196,698).
knows(1210,181).
knows(1204,411).
knows(1635,1943).
knows(1208,270).
knows(1635,1939).
knows(1643,1644).
knows(287,172).
knows(750,194).
knows(710,1674).
knows(748,272).
knows(736,716).
knows(1208,222).
knows(237,1973).
knows(287,127).
knows(290,17).
knows(1635,1899).
knows(755,30).
knows(755,36).
knows(1659,1024).
knows(753,107).
knows(751,186).
knows(285,156).
knows(1685,127).
knows(1654,1274).
knows(284,191).
knows(280,339).
knows(1635,1983).
knows(746,450).
knows(266,865).
knows(746,449).
knows(1208,194).
knows(755,127).
knows(755,80).
knows(726,1148).
knows(1198,519).
knows(267,807).
knows(1683,194).
knows(746,433).
knows(267,811).
knows(755,99).
knows(278,405).
knows(1681,272).
knows(1221,173).
knows(1208,653).
knows(759,302).
knows(765,86).
knows(278,630).
knows(265,1094).
knows(294,25).
knows(265,1095).
knows(291,127).
knows(293,51).
knows(748,676).
knows(1655,1297).
knows(1655,1300).
knows(716,1862).
knows(766,14).
knows(290,155).
knows(292,80).
knows(727,1445).
knows(748,675).
knows(243,1874).
knows(752,514).
knows(280,509).
knows(284,362).
knows(280,511).
knows(1669,754).
knows(716,1842).
knows(1208,587).
knows(767,74).
knows(1221,109).
knows(766,109).
knows(267,971).
knows(746,834).
knows(246,1735).
knows(766,93).
knows(1198,942).
knows(755,496).
knows(290,101).
knows(1221,86).
knows(1221,83).
knows(1215,293).
knows(1663,1063).
knows(768,7).
knows(752,599).
knows(760,297).
knows(1209,507).
knows(765,104).
knows(243,1820).
knows(765,102).
knows(765,101).
knows(1186,1355).
knows(273,699).
knows(1186,1354).
knows(755,465).
knows(278,515).
knows(283,327).
knows(1219,127).
knows(746,649).
knows(269,1085).
knows(280,679).
knows(1186,1337).
knows(1674,750).
knows(719,1658).
knows(290,287).
knows(292,212).
knows(719,1634).
knows(755,307).
knows(297,36).
knows(284,522).
knows(263,1298).
knows(1674,710).
knows(1209,444).
knows(1198,853).
knows(746,620).
knows(287,388).
knows(1198,863).
knows(258,1464).
knows(755,291).
knows(759,117).
knows(295,69).
knows(297,1).
knows(762,14).
knows(294,120).
knows(727,1420).
knows(727,1418).
knows(762,119).
knows(1215,199).
knows(1218,87).
knows(290,251).
knows(294,98).
knows(284,468).
knows(762,109).
knows(294,77).
knows(1172,1772).
knows(746,707).
knows(1172,1776).
knows(761,127).
knows(284,428).
knows(280,577).
knows(274,801).
knows(742,839).
knows(295,33).
knows(295,36).
knows(746,686).
knows(290,194).
knows(1216,107).
knows(743,785).
knows(743,786).
knows(280,575).
knows(1175,1634).
knows(1215,155).
knows(269,143).
knows(1198,1221).
knows(264,326).
knows(238,1313).
knows(1201,1137).
knows(272,51).
knows(268,197).
knows(1208,866).
knows(1221,388).
knows(1221,410).
knows(268,208).
knows(268,209).
knows(267,243).
knows(1202,1128).
knows(1190,1564).
knows(739,271).
knows(267,263).
knows(224,1854).
knows(1225,272).
knows(743,120).
knows(267,153).
knows(1227,93).
knows(266,182).
knows(744,96).
knows(268,134).
knows(1209,773).
knows(264,275).
knows(253,681).
knows(739,302).
knows(1655,1634).
knows(233,1445).
knows(1223,272).
knows(271,31).
knows(233,1460).
knows(264,312).
knows(267,206).
knows(241,1167).
knows(251,799).
knows(267,196).
knows(270,87).
knows(739,334).
knows(1208,834).
knows(732,355).
knows(259,633).
knows(1697,109).
knows(726,585).
knows(739,101).
knows(1220,290).
knows(739,99).
knows(267,347).
knows(740,75).
knows(1225,107).
knows(251,950).
knows(241,1315).
knows(251,959).
knows(1208,746).
knows(723,719).
knows(269,295).
knows(1700,33).
knows(268,362).
knows(264,384).
knows(233,1531).
knows(1221,178).
knows(1203,855).
knows(269,210).
knows(1203,853).
knows(243,1175).
knows(739,172).
knows(233,1548).
knows(1700,69).
knows(1223,127).
knows(1700,84).
knows(1214,467).
knows(1700,87).
knows(267,313).
knows(741,122).
knows(258,648).
knows(275,22).
knows(272,135).
knows(264,433).
knows(273,272).
knows(269,415).
knows(267,489).
knows(736,606).
knows(280,7).
knows(273,266).
knows(1237,51).
knows(1700,126).
knows(278,72).
knows(1700,127).
knows(721,1146).
knows(275,172).
knows(1657,1767).
knows(280,38).
knows(735,673).
knows(748,190).
knows(1700,170).
knows(269,439).
knows(1198,1517).
knows(1699,194).
knows(280,29).
knows(1214,929).
knows(236,1655).
knows(750,107).
knows(280,20).
knows(1221,655).
knows(280,21).
knows(748,174).
knows(251,1092).
knows(749,136).
knows(258,831).
knows(263,575).
knows(727,1009).
knows(263,577).
knows(266,468).
knows(753,36).
knows(1698,276).
knows(267,424).
knows(243,1297).
knows(243,1300).
knows(1231,200).
knows(275,120).
knows(727,981).
knows(1216,750).
knows(1700,180).
knows(739,541).
knows(1681,886).
knows(1237,30).
knows(1700,238).
knows(277,93).
knows(750,190).
knows(251,1044).
knows(735,734).
knows(263,590).
knows(1700,264).
knows(283,20).
knows(275,326).
knows(242,1543).
knows(272,434).
knows(1231,127).
knows(1700,246).
knows(727,792).
knows(280,125).
knows(1688,699).
knows(278,194).
knows(746,138).
knows(284,14).
knows(280,172).
knows(280,173).
knows(280,170).
knows(284,20).
knows(280,169).
knows(258,965).
knows(744,199).
knows(237,1741).
knows(284,1).
knows(253,1147).
knows(1215,764).
knows(1190,1599).
knows(1706,107).
knows(279,109).
knows(1697,448).
knows(748,107).
knows(280,78).
knows(275,264).
knows(279,85).
knows(736,522).
knows(739,415).
knows(733,639).
knows(278,132).
knows(278,136).
knows(748,127).
knows(267,579).
knows(267,577).
knows(1668,1542).
knows(1208,960).
knows(280,107).
knows(736,577).
knows(1219,563).
knows(280,109).
knows(267,569).
knows(1702,276).
knows(1243,33).
knows(1212,1186).
knows(1209,1302).
knows(1209,1307).
knows(307,254).
knows(284,1105).
knows(1237,272).
knows(313,29).
knows(267,1731).
knows(1208,1352).
knows(307,206).
knows(302,388).
knows(290,844).
knows(727,222).
knows(732,36).
knows(307,222).
knows(727,230).
knows(297,587).
knows(1208,1323).
knows(302,415).
knows(688,1682).
knows(263,1855).
knows(1243,101).
knows(280,1298).
knows(1655,24).
knows(726,226).
knows(313,86).
knows(284,1165).
knows(313,93).
knows(292,870).
knows(705,1015).
knows(732,20).
knows(1214,1199).
knows(1223,863).
knows(267,1807).
knows(284,1124).
knows(699,1199).
knows(309,203).
knows(716,575).
knows(726,216).
knows(267,1774).
knows(1242,127).
knows(274,1590).
knows(307,366).
knows(300,624).
knows(698,1196).
knows(267,1842).
knows(310,253).
knows(307,364).
knows(310,252).
knows(314,125).
knows(1226,554).
knows(1655,236).
knows(267,1860).
knows(1235,178).
knows(316,8).
knows(726,132).
knows(316,7).
knows(313,118).
knows(314,80).
knows(707,834).
knows(716,497).
knows(1236,136).
knows(727,86).
knows(1237,121).
knows(290,985).
knows(1213,1000).
knows(314,86).
knows(1237,203).
knows(724,173).
knows(1237,200).
knows(314,181).
knows(720,316).
knows(315,136).
knows(316,98).
knows(318,42).
knows(727,80).
knows(1655,180).
knows(1655,170).
knows(313,222).
knows(1237,173).
knows(678,1844).
knows(695,1213).
knows(678,1842).
knows(267,1882).
knows(726,72).
knows(725,107).
knows(688,1476).
knows(678,1847).
knows(313,173).
knows(678,1834).
knows(710,651).
knows(678,1835).
knows(267,1873).
knows(678,1841).
knows(267,1878).
knows(309,345).
knows(735,226).
knows(267,1988).
knows(290,1136).
knows(731,370).
knows(736,194).
knows(1243,290).
knows(736,172).
knows(307,494).
knows(736,170).
knows(310,378).
knows(294,985).
knows(733,290).
knows(292,1029).
knows(736,164).
knows(316,153).
knows(1237,507).
knows(708,1196).
knows(1622,1538).
knows(307,470).
knows(1237,492).
knows(292,1126).
knows(736,127).
knows(307,575).
knows(1227,976).
knows(1221,1198).
knows(728,425).
knows(1207,1688).
knows(1248,170).
knows(735,127).
knows(719,723).
knows(284,1372).
knows(321,7).
knows(321,8).
knows(318,122).
knows(314,271).
knows(736,86).
knows(314,388).
knows(1208,1482).
knows(1655,494).
knows(278,1716).
knows(1665,117).
knows(314,375).
knows(736,51).
knows(302,803).
knows(736,36).
knows(291,1199).
knows(1666,49).
knows(736,25).
knows(707,1098).
knows(707,1100).
knows(707,1099).
knows(721,577).
knows(707,1096).
knows(1665,79).
knows(314,334).
knows(292,1148).
knows(736,8).
knows(318,181).
knows(736,2).
knows(301,927).
knows(311,563).
knows(732,153).
knows(1651,573).
knows(1246,135).
knows(293,1215).
knows(1665,49).
knows(715,761).
knows(321,172).
knows(316,362).
knows(1665,42).
knows(732,129).
knows(1237,444).
knows(1237,441).
knows(1241,287).
knows(727,297).
knows(726,334).
knows(1248,27).
knows(719,582).
knows(314,401).
knows(316,326).
knows(1665,12).
knows(1221,1015).
knows(1248,17).
knows(1665,14).
knows(314,405).
knows(1656,341).
knows(1665,7).
knows(719,575).
knows(1665,9).
knows(720,540).
knows(716,689).
knows(319,212).
knows(717,72).
knows(716,109).
knows(710,330).
knows(1224,1225).
knows(1237,758).
knows(283,593).
knows(1252,198).
knows(297,86).
knows(299,9).
knows(1237,774).
knows(1253,181).
knows(1225,1224).
knows(1665,240).
knows(1665,238).
knows(1248,370).
knows(720,8).
knows(294,219).
knows(292,293).
knows(1665,243).
knows(1665,246).
knows(1660,441).
knows(290,375).
knows(292,302).
knows(300,8).
knows(716,170).
knows(710,392).
knows(1665,253).
knows(716,49).
knows(299,49).
knows(295,197).
knows(1664,173).
knows(275,938).
knows(288,470).
knows(297,135).
knows(295,210).
knows(284,615).
knows(1665,143).
knows(290,405).
knows(1665,148).
knows(696,804).
knows(284,624).
knows(1665,155).
knows(1256,127).
knows(284,630).
knows(710,291).
knows(278,863).
knows(716,83).
knows(1642,1024).
knows(696,824).
knows(1665,178).
knows(1665,182).
knows(706,463).
knows(1237,852).
knows(688,1143).
knows(295,254).
knows(699,619).
knows(709,250).
knows(302,14).
knows(267,1298).
knows(688,1017).
knows(686,1096).
knows(702,502).
knows(1221,1199).
knows(292,396).
knows(1248,226).
knows(716,8).
knows(300,93).
knows(1671,119).
knows(296,247).
knows(1665,366).
knows(301,85).
knows(300,109).
knows(300,110).
knows(698,683).
knows(295,300).
knows(266,1372).
knows(1675,15).
knows(301,98).
knows(299,173).
knows(300,126).
knows(678,1439).
knows(1237,655).
knows(706,405).
knows(681,1330).
knows(295,316).
knows(1252,127).
knows(678,1330).
knows(290,516).
knows(1665,286).
knows(292,465).
knows(1666,253).
knows(676,1421).
knows(701,516).
knows(283,809).
knows(278,990).
knows(303,62).
knows(300,173).
knows(301,164).
knows(278,1017).
knows(1655,689).
knows(300,197).
knows(1665,307).
knows(294,415).
knows(300,229).
knows(678,1800).
knows(278,1018).
knows(305,20).
knows(723,107).
knows(1672,194).
knows(688,1407).
knows(300,210).
knows(284,805).
knows(678,1783).
knows(678,1820).
knows(678,1818).
knows(1665,501).
knows(678,1822).
knows(688,1453).
knows(678,1829).
knows(678,1827).
knows(678,1832).
knows(678,1833).
knows(678,1830).
knows(678,1831).
knows(1634,1634).
knows(680,1735).
knows(1678,15).
knows(678,1816).
knows(727,1).
knows(1665,404).
knows(716,321).
knows(710,544).
knows(707,649).
knows(720,169).
knows(698,985).
knows(678,1734).
knows(307,33).
knows(307,36).
knows(300,295).
knows(716,307).
knows(302,194).
knows(287,750).
knows(278,1083).
knows(297,388).
knows(703,791).
knows(307,20).
knows(707,686).
knows(297,428).
knows(307,69).
knows(264,1658).
knows(723,98).
knows(307,48).
knows(1254,463).
knows(1237,1097).
knows(714,419).
knows(1248,695).
knows(1248,485).
knows(1634,1755).
knows(302,284).
knows(1260,36).
knows(260,1842).
knows(1665,606).
knows(1237,884).
knows(719,143).
knows(307,93).
knows(722,36).
knows(260,1820).
knows(307,83).
knows(678,1655).
knows(1237,872).
knows(1237,873).
knows(688,1287).
knows(273,1345).
knows(722,20).
knows(1237,865).
knows(284,982).
knows(307,132).
knows(308,98).
knows(278,1199).
knows(1674,290).
knows(302,297).
knows(292,667).
knows(706,645).
knows(300,370).
knows(308,129).
knows(298,499).
knows(1259,144).
knows(307,164).
knows(1647,1199).
knows(304,265).
knows(1258,173).
knows(1646,1229).
knows(295,590).
knows(1665,530).
knows(1259,127).
knows(1257,202).
knows(1237,929).
knows(307,144).
knows(716,172).
knows(310,87).
knows(678,1634).
knows(1665,565).
knows(1260,127).
knows(1636,1636).
knows(310,79).
knows(1237,982).
knows(688,1255).
knows(304,291).
knows(688,1246).
knows(301,398).
knows(306,212).
knows(719,98).
knows(720,59).
knows(720,57).
knows(350,83).
knows(351,49).
knows(1147,673).
knows(332,754).
knows(1634,129).
knows(337,570).
knows(1990,86).
knows(332,758).
knows(1154,428).
knows(1135,1126).
knows(792,957).
knows(347,206).
knows(1146,721).
knows(1977,577).
knows(1165,30).
knows(331,803).
knows(1162,135).
knows(1983,350).
knows(792,979).
knows(1983,372).
knows(806,465).
knows(1141,929).
knows(816,93).
knows(792,981).
knows(345,309).
knows(1126,1495).
knows(1635,134).
knows(343,385).
knows(347,242).
knows(812,264).
knows(347,254).
knows(819,14).
knows(346,172).
knows(346,173).
knows(792,1009).
knows(347,129).
knows(1161,98).
knows(350,20).
knows(819,18).
knows(1939,1915).
knows(819,30).
knows(815,173).
knows(1132,1186).
knows(341,381).
knows(1947,1634).
knows(811,350).
knows(1939,1940).
knows(1148,619).
knows(1617,863).
knows(1991,20).
knows(1640,18).
knows(1630,388).
knows(1135,1106).
knows(818,109).
knows(805,587).
knows(346,226).
knows(1634,8).
knows(1939,1839).
knows(1141,1029).
knows(301,1773).
knows(794,1028).
knows(815,238).
knows(1945,1634).
knows(786,1310).
knows(1634,20).
knows(347,84).
knows(347,85).
knows(1631,127).
knows(786,1316).
knows(1939,1878).
knows(1635,7).
knows(341,328).
knows(1635,2).
knows(1154,582).
knows(792,1106).
knows(332,655).
knows(1974,577).
knows(807,576).
knows(336,530).
knows(1939,1889).
knows(336,532).
knows(1126,1634).
knows(1603,1199).
knows(1987,110).
knows(812,380).
knows(819,127).
knows(350,7).
knows(1160,265).
knows(339,312).
knows(1634,72).
knows(1939,1783).
knows(1943,1635).
knows(804,696).
knows(815,290).
knows(345,79).
knows(343,150).
knows(815,287).
knows(1634,87).
knows(1135,1205).
knows(1939,1799).
knows(1939,1791).
knows(1167,20).
knows(1618,698).
knows(334,522).
knows(1607,1096).
knows(1160,291).
knows(1939,1806).
knows(337,404).
knows(819,199).
knows(336,468).
knows(1165,127).
knows(344,171).
knows(802,820).
knows(318,1124).
knows(341,181).
knows(803,302).
knows(1996,135).
knows(1599,1190).
knows(1135,886).
knows(795,606).
knows(803,284).
knows(339,235).
knows(330,568).
knows(810,29).
knows(1628,107).
knows(1141,653).
knows(792,698).
knows(344,59).
knows(1997,85).
knows(1974,930).
knows(341,173).
knows(1974,931).
knows(1974,932).
knows(810,71).
knows(808,145).
knows(810,72).
knows(334,468).
knows(328,701).
knows(1607,906).
knows(811,20).
knows(792,727).
knows(346,20).
knows(345,57).
knows(804,290).
knows(339,280).
knows(1995,98).
knows(1135,815).
knows(1135,819).
knows(1115,1558).
knows(807,226).
knows(1150,272).
knows(1152,197).
knows(337,249).
knows(812,18).
knows(336,287).
knows(339,173).
knows(1156,25).
knows(1966,1161).
knows(1115,1548).
knows(1135,849).
knows(810,134).
knows(1983,579).
knows(1983,582).
knows(1115,1595).
knows(804,370).
knows(301,1634).
knows(318,985).
knows(337,284).
knows(810,129).
knows(340,92).
knows(812,104).
knows(1974,811).
knows(339,125).
knows(1622,200).
knows(1149,486).
knows(331,415).
knows(1146,590).
knows(803,415).
knows(326,593).
knows(341,36).
knows(336,272).
knows(810,212).
knows(811,153).
knows(812,118).
knows(1981,579).
knows(327,594).
knows(1981,576).
knows(327,582).
knows(804,405).
knows(327,584).
knows(1597,1199).
knows(1160,30).
knows(1941,1981).
knows(1607,834).
knows(1950,1635).
knows(1134,985).
knows(1992,85).
knows(1151,355).
knows(336,162).
knows(321,716).
knows(789,994).
knows(1586,1587).
knows(815,29).
knows(809,252).
knows(814,127).
knows(326,582).
knows(330,435).
knows(815,85).
knows(310,1172).
knows(326,574).
knows(1607,854).
knows(336,203).
knows(1587,1586).
knows(815,75).
knows(1627,109).
knows(815,72).
knows(1986,321).
knows(1156,182).
knows(809,283).
knows(812,175).
knows(804,27).
knows(332,272).
knows(337,96).
knows(1172,310).
knows(330,362).
knows(330,372).
knows(1175,206).
knows(339,36).
knows(332,295).
knows(337,51).
knows(330,312).
knows(338,26).
knows(333,212).
knows(318,767).
knows(779,927).
knows(1636,577).
knows(1962,1634).
knows(337,72).
knows(792,453).
knows(337,71).
knows(1175,172).
knows(1175,173).
knows(331,302).
knows(336,116).
knows(328,415).
knows(799,271).
knows(330,284).
knows(330,287).
knows(337,33).
knows(329,330).
knows(318,738).
knows(1635,716).
knows(1160,688).
knows(773,1262).
knows(336,85).
knows(283,1985).
knows(799,239).
knows(336,30).
knows(773,1209).
knows(334,109).
knows(328,341).
knows(322,563).
knows(2000,169).
knows(334,120).
knows(334,127).
knows(801,274).
knows(292,1634).
knows(1988,575).
knows(807,49).
knows(773,1307).
knows(773,1305).
knows(326,372).
knows(1648,36).
knows(773,1304).
knows(773,1302).
knows(1168,573).
knows(326,362).
knows(321,577).
knows(321,575).
knows(321,576).
knows(314,835).
knows(800,323).
knows(1988,584).
knows(773,1276).
knows(773,1277).
knows(334,49).
knows(332,117).
knows(328,267).
knows(334,40).
knows(1165,651).
knows(1156,985).
knows(1155,1023).
knows(765,1585).
knows(1160,853).
knows(755,1946).
knows(1134,1776).
knows(328,235).
knows(325,346).
knows(803,263).
knows(1175,254).
knows(1154,1024).
knows(1153,1062).
knows(1141,1506).
knows(1179,127).
knows(330,177).
knows(314,766).
knows(810,20).
knows(1635,592).
knows(1994,297).
knows(1632,657).
knows(1634,582).
knows(809,8).
knows(330,132).
knows(1622,1024).
knows(1630,750).
knows(325,328).
knows(318,587).
knows(1175,238).
knows(1972,1077).
knows(330,141).
knows(1167,237).
knows(317,588).
knows(1170,127).
knows(1135,1422).
knows(755,1599).
knows(317,589).
knows(332,30).
knows(798,14).
knows(797,51).
knows(755,1601).
knows(1173,2).
knows(327,198).
knows(302,1124).
knows(280,1939).
knows(325,284).
knows(792,222).
knows(327,212).
knows(330,77).
knows(316,594).
knows(1172,20).
knows(327,186).
knows(797,12).
knows(755,1564).
knows(292,1476).
knows(1624,779).
knows(327,196).
knows(794,128).
knows(330,80).
knows(1962,1878).
knows(316,575).
knows(330,69).
knows(1172,13).
knows(785,445).
knows(779,667).
knows(1169,127).
knows(1997,574).
knows(1998,530).
knows(791,336).
knows(1141,1143).
knows(1137,1291).
knows(1137,1268).
knows(326,177).
knows(1156,573).
knows(1165,239).
knows(330,36).
knows(1166,190).
knows(325,176).
knows(325,181).
knows(328,71).
knows(1135,1310).
knows(328,72).
knows(755,1617).
knows(295,1298).
knows(1163,522).
knows(322,284).
knows(328,58).
knows(1175,83).
knows(797,173).
knows(797,166).
knows(1628,520).
knows(1135,1538).
knows(1135,1539).
knows(1135,1540).
knows(320,321).
knows(325,134).
knows(325,127).
knows(1599,1564).
knows(1641,1).
knows(1140,1323).
knows(301,1000).
knows(290,1407).
knows(1634,380).
knows(1172,125).
knows(1151,894).
knows(803,14).
knows(1164,412).
knows(322,212).
knows(327,14).
knows(324,125).
knows(771,1186).
knows(782,781).
knows(1993,577).
knows(1135,1463).
knows(313,510).
knows(1172,87).
knows(322,181).
knows(1983,927).
knows(1172,78).
knows(313,506).
knows(1992,584).
knows(1986,809).
knows(325,48).
knows(796,221).
knows(1136,1403).
knows(781,782).
knows(1605,239).
knows(1160,1154).
knows(765,985).
knows(792,14).
knows(792,4).
knows(792,1).
knows(349,1126).
knows(771,801).
knows(755,1390).
knows(782,415).
knows(1150,1572).
knows(366,499).
knows(1971,1791).
knows(762,1143).
knows(1580,1101).
knows(1167,981).
knows(755,1318).
knows(337,1608).
knows(370,388).
knows(782,330).
knows(1194,1).
knows(337,1634).
knows(1186,291).
knows(372,330).
knows(1186,287).
knows(376,181).
knows(788,127).
knows(755,1345).
knows(1175,719).
knows(365,612).
knows(370,415).
knows(366,328).
knows(792,119).
knows(365,362).
knows(1963,1915).
knows(373,77).
knows(332,1588).
knows(1193,75).
knows(1598,388).
knows(373,86).
knows(370,191).
knows(365,388).
knows(362,504).
knows(375,36).
knows(373,107).
knows(1178,655).
knows(1146,1842).
knows(366,362).
knows(365,410).
knows(336,1494).
knows(375,49).
knows(336,1490).
knows(773,872).
knows(1193,127).
knows(362,536).
knows(370,240).
knows(1191,197).
knows(336,1504).
knows(1183,522).
knows(755,1443).
knows(370,266).
knows(366,415).
knows(792,80).
knows(792,86).
knows(377,17).
knows(365,463).
knows(368,352).
knows(755,1462).
knows(366,437).
knows(755,1472).
knows(1192,220).
knows(368,150).
knows(755,1128).
knows(350,811).
knows(362,365).
knows(782,117).
knows(330,1540).
knows(773,445).
knows(773,444).
knows(773,440).
knows(369,86).
knows(1581,878).
knows(369,83).
knows(755,1097).
knows(1175,398).
knows(362,401).
knows(746,1488).
knows(365,284).
knows(782,150).
knows(366,248).
knows(1181,173).
knows(369,128).
knows(368,167).
knows(370,93).
knows(349,863).
knows(370,86).
knows(1182,127).
knows(370,80).
knows(369,172).
knows(755,1064).
knows(366,287).
knows(1160,985).
knows(370,128).
knows(1583,755).
knows(370,127).
knows(1983,1635).
knows(357,612).
knows(373,14).
knows(353,752).
knows(373,1).
knows(1175,410).
knows(1156,1168).
knows(1172,577).
knows(755,1095).
knows(370,172).
knows(1165,830).
knows(370,162).
knows(771,494).
knows(1594,370).
knows(1184,117).
knows(771,481).
knows(757,1002).
knows(1565,1440).
knows(769,554).
knows(316,1939).
knows(1584,653).
knows(365,130).
knows(365,127).
knows(365,128).
knows(330,1405).
knows(355,480).
knows(366,73).
knows(365,109).
knows(358,366).
knows(352,587).
knows(1579,821).
knows(1181,297).
knows(782,284).
knows(365,136).
knows(364,172).
knows(365,135).
knows(746,1602).
knows(368,39).
knows(1597,194).
knows(368,38).
knows(785,155).
knows(1597,109).
knows(1186,148).
knows(746,1511).
knows(1146,1634).
knows(365,197).
knows(1177,465).
knows(782,164).
knows(748,1422).
knows(368,58).
knows(748,1421).
knows(1979,1634).
knows(328,1542).
knows(365,173).
knows(365,172).
knows(366,135).
knows(773,507).
knows(755,1214).
knows(1188,100).
knows(353,667).
knows(785,109).
knows(1189,72).
knows(756,1187).
knows(1980,1634).
knows(368,92).
knows(782,199).
knows(755,1199).
knows(336,1285).
knows(1597,127).
knows(362,128).
knows(334,1165).
knows(347,681).
knows(766,481).
knows(746,1208).
knows(347,678).
knows(365,33).
knows(1981,1941).
knows(1165,1536).
knows(1984,1820).
knows(365,25).
knows(350,584).
knows(365,29).
knows(1989,1634).
knows(755,893).
knows(1988,1634).
knows(358,247).
knows(755,856).
knows(362,92).
knows(362,93).
knows(364,36).
knows(771,274).
knows(365,1).
knows(766,463).
knows(775,132).
knows(365,86).
knows(1622,99).
knows(366,44).
knows(769,302).
knows(352,563).
knows(355,468).
knows(1622,121).
knows(1991,1635).
knows(362,206).
knows(1621,155).
knows(366,54).
knows(757,756).
knows(364,127).
knows(367,14).
knows(353,492).
knows(358,307).
knows(1186,771).
knows(365,40).
knows(336,1143).
knows(366,33).
knows(366,29).
knows(365,60).
knows(1195,452).
knows(756,757).
knows(354,291).
knows(775,265).
knows(336,960).
knows(358,153).
knows(1617,222).
knows(358,150).
knows(1208,77).
knows(1208,75).
knows(755,1031).
knows(776,194).
knows(352,334).
knows(779,98).
knows(1204,181).
knows(1178,1142).
knows(1178,1154).
knows(352,429).
knows(761,715).
knows(769,433).
knows(1211,20).
knows(363,33).
knows(357,266).
knows(347,582).
knows(1208,80).
knows(777,96).
knows(359,139).
knows(1208,85).
knows(1210,20).
knows(352,412).
knows(765,566).
knows(755,929).
knows(362,48).
knows(360,123).
knows(720,1939).
knows(720,1941).
knows(762,388).
knows(720,1942).
knows(1186,494).
knows(771,36).
knows(336,838).
knows(354,172).
knows(1186,483).
knows(761,396).
knows(310,1787).
knows(720,1915).
knows(1186,481).
knows(746,957).
knows(355,127).
knows(336,819).
knows(349,330).
knows(1176,839).
knows(768,127).
knows(720,1903).
knows(310,1764).
knows(768,118).
knows(1606,467).
knows(353,176).
knows(766,181).
knows(341,614).
knows(755,582).
knows(1592,970).
knows(768,92).
knows(330,1127).
knows(750,754).
knows(746,905).
knows(355,194).
knows(1610,293).
knows(1583,1283).
knows(1617,14).
knows(769,29).
knows(357,101).
knows(1186,525).
knows(766,122).
knows(766,120).
knows(1612,179).
knows(746,1096).
knows(337,681).
knows(1176,994).
knows(746,1100).
knows(766,364).
knows(765,405).
knows(352,109).
knows(1992,1634).
knows(755,750).
knows(342,480).
knows(772,127).
knows(769,238).
knows(1616,1).
knows(765,388).
knows(755,758).
knows(346,313).
knows(769,226).
knows(346,325).
knows(330,889).
knows(746,1046).
knows(336,669).
knows(347,267).
knows(762,463).
knows(328,968).
knows(746,1037).
knows(766,290).
knows(336,791).
knows(1584,1141).
knows(755,686).
knows(748,946).
knows(1610,155).
knows(330,985).
knows(762,434).
knows(349,293).
knows(336,774).
knows(769,172).
knows(351,203).
knows(1606,290).
knows(353,128).
knows(353,126).
knows(761,434).
knows(755,653).
knows(1186,647).
knows(746,992).
knows(865,444).
knows(1102,446).
knows(868,328).
knows(865,442).
knows(399,212).
knows(865,441).
knows(1565,515).
knows(401,126).
knows(866,388).
knows(870,292).
knows(850,1030).
knows(868,370).
knows(850,1023).
knows(401,169).
knows(1097,649).
knows(1096,686).
knows(834,1607).
knows(361,1634).
knows(865,456).
knows(1106,233).
knows(865,507).
knows(1099,482).
knows(855,853).
knows(868,433).
knows(838,1541).
knows(396,292).
knows(401,107).
knows(398,219).
knows(856,868).
knows(876,127).
knows(399,172).
knows(350,1983).
knows(399,164).
knows(850,1074).
knows(402,47).
knows(1995,1783).
knows(868,197).
knows(1092,677).
knows(850,875).
knows(389,691).
knows(389,692).
knows(1108,68).
knows(398,362).
knows(403,181).
knows(1575,272).
knows(409,1).
knows(868,240).
knows(1103,291).
knows(408,20).
knows(866,297).
knows(406,101).
knows(1100,410).
knows(868,222).
knows(1103,297).
knows(1108,25).
knows(1103,194).
knows(838,1369).
knows(1104,202).
knows(867,334).
knows(381,970).
knows(863,468).
knows(871,170).
knows(399,287).
knows(401,226).
knows(848,1024).
knows(868,60).
knows(844,949).
knows(1102,172).
knows(385,463).
knows(838,1165).
knows(1103,127).
knows(857,463).
knows(841,1078).
knows(868,77).
knows(1096,410).
knows(1081,959).
knows(347,1878).
knows(867,130).
knows(1103,172).
knows(390,302).
knows(868,89).
knows(398,29).
knows(396,107).
knows(1568,190).
knows(395,134).
knows(1085,839).
knows(1550,852).
knows(396,99).
knows(850,772).
knows(388,287).
knows(868,127).
knows(388,284).
knows(868,125).
knows(1570,127).
knows(1105,6).
knows(864,284).
knows(1544,1128).
knows(852,753).
